Incident Number,Severity,Severity Level,Date,Location,Pipeline Operator,Material Released,PHMSA Guide Reference,Incident Description,Response Actions,Casualties & Injuries
65,ðŸŸ¡ Minor,Minor,"July 6, 2023","Tulsa, Oklahoma",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A coating failure on a buried crude oil pipeline caused undetected corrosion, leading to a slow leak.","Pipeline shutdown and affected section excavated.
Pipeline recoated with corrosion-resistant material.
Routine coating integrity inspections increased.",No injuries reported.
66,ðŸŸ¡ Minor,Minor,"May 18, 2022","Cheyenne, Wyoming",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"Heavy flash flooding washed away soil covering a buried gas pipeline, exposing it to external damage from debris.","Pipeline shut down and integrity inspection conducted.
Protective structures installed to prevent future flood damage.
Long-term flood risk assessment initiated.",No injuries reported.
67,ðŸŸ¡ Minor,Minor,"March 7, 2023","Denver, Colorado",XYZ Pipeline Company,None (Equipment Malfunction),Guide 115,"A compressor unit tripped offline due to an internal bearing failure, triggering an automatic emergency shutdown.","Backup compressors activated to prevent service disruptions.
Failed unit repaired and bearing system upgraded.
Condition-based monitoring system installed to detect future failures early.",No injuries reported.
68,âšª Near Miss / No Impact,,"September 29, 2021","Midland, Texas",XYZ Pipeline Company,Liquefied Petroleum Gas (LPG) (UN 1075),Guide 115,"A valve packing failure at an LPG metering station resulted in a small, intermittent leak.","Station shutdown and vapor cloud dispersion monitored.
Valve replaced, and packing integrity assessments increased.",No injuries reported.
69,âšª Near Miss / No Impact,,"November 2, 2022","Baton Rouge, Louisiana",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A pinhole leak developed in an aging crude oil pipeline, releasing a small but continuous amount of oil.","Pipeline shut down for immediate repairs.
Aging pipeline sections replaced with upgraded materials.
Pipeline integrity monitoring improved.",No injuries reported.
70,ðŸŸ  Moderate,Moderate,"April 21, 2023","Oklahoma City, Oklahoma",XYZ Pipeline Company,None (Fire Event),Guide 128,"A lightning strike hit a crude oil storage tank, igniting vapors around the tank's vent system.","Fire suppression systems activated, preventing tank damage.
Tank inspected for structural integrity.
Lightning protection system enhanced for the facility.",No injuries reported.
71,ðŸŸ¡ Minor,Minor,"August 15, 2022","Corpus Christi, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A seal failure in an underground storage wellhead caused a minor but continuous natural gas leak, detected through gas sensors.","Storage facility operations halted, and leak source identified.
Seals replaced, and well integrity tested.
Preventive maintenance frequency increased for all storage wells.",No injuries reported.
72,ðŸŸ¡ Minor,Minor,"May 10, 2023**","Pittsburgh, Pennsylvania",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A corrosion-induced failure in a 36-inch crude oil pipeline resulted in a slow leak, detected via pressure monitoring.","Pipeline shut down for immediate repair.
Corroded section replaced with new steel piping.
Corrosion inhibitors injected into the pipeline system.",No injuries reported.
73,ðŸŸ  Moderate,Moderate,"October 7, 2021","Houston, Texas",XYZ Pipeline Company,None (Fire Event),Guide 115,"A turbocharger overheated on a gas compressor unit, igniting oil residues near the engine, causing a fire.","Fire suppression systems activated, preventing spread.
Compressor shutdown until repairs were completed.
Preventive cooling measures installed to prevent future overheating.",No injuries reported.
74,ðŸŸ¡ Minor,Minor,"March 28, 2023","New Orleans, Louisiana",XYZ Pipeline Company,Jet Fuel (UN 1863),Guide 128,"A construction contractor failed to obtain proper permits and struck a jet fuel pipeline, causing fuel leakage.","Pipeline shut down and isolation valves closed immediately.
Cleanup crews deployed to contain and recover spilled fuel.
Regulatory fines issued against contractor for safety violations.",No injuries reported.
75,âšª Near Miss / No Impact,,"July 5, 2021","Tulsa, Oklahoma",XYZ Pipeline Company,Liquefied Petroleum Gas (LPG) (UN 1075),Guide 115,"A faulty pressure relief valve in an LPG storage facility caused a small vapor release, detected by gas monitors.","LPG storage tanks isolated, and faulty valve replaced.
Emergency ventilation engaged to disperse vapors safely.
Additional sensor monitoring added for early detection.",No injuries reported.
76,ðŸ”´ Critical,Critical,"December 3, 2022","Cheyenne, Wyoming",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A gas release from a damaged pipeline section ignited due to a nearby running generator, causing an explosion.","Emergency shutdown initiated immediately.
Fire department and hazmat teams responded.
Ignition sources prohibited near active repairs moving forward.","Two workers sustained moderate burns, treated at a local hospital."
77,ðŸŸ¡ Minor,Minor,"June 19, 2023","Baton Rouge, Louisiana",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,A transfer line failure at a pump station led to an oil spill into a secondary containment area.,"Operations halted, and oil recovery initiated.
Failed transfer line section replaced.
Routine integrity testing implemented for transfer lines.",No injuries reported.
78,ðŸŸ¡ Minor,Minor,"September 16, 2021","Midland, Texas",XYZ Pipeline Company,None (Operational Disruption),Guide 115,"A grid power outage caused an unexpected shutdown of a gas compressor station, disrupting gas transmission.","Backup generators deployed to maintain station operations.
Power reliability assessment conducted to reduce dependency on grid supply.",No injuries reported.
79,ðŸŸ¡ Minor,Minor,"February 25, 2022","Denver, Colorado",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,"A previously repaired weld seam developed a small leak, allowing diesel to seep into surrounding soil.","Pipeline shutdown and contaminated soil excavation performed.
Quality control review of previous repairs conducted.
Pipeline weld inspection procedures updated.",No injuries reported.
80,âšª Near Miss / No Impact,,"November 10, 2023","Oklahoma City, Oklahoma",XYZ Pipeline Company,Liquefied Petroleum Gas (LPG) (UN 1075),Guide 115,"A hose coupling failure during an LPG loading operation caused a small vapor release, triggering gas alarms.","Operations halted and vapor cloud dispersed.
Hose and coupling system replaced with enhanced fittings.
Routine hose integrity testing added to loading procedures.",No injuries reported.
81,ðŸŸ¡ Minor,Minor,"August 12, 2022","Houston, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"Heavy rains caused soil shifting, which resulted in a pipeline joint separation, leading to a minor gas leak.","Pipeline segment isolated and depressurized.
Leak sealed and soil stabilization measures implemented.
Geotechnical monitoring increased in flood-prone areas.",No injuries reported.
82,ðŸŸ  Moderate,Moderate,"March 15, 2023**","Pittsburgh, Pennsylvania",XYZ Pipeline Company,None (Fire Event),Guide 115,"A bearings failure in a gas compressor unit caused excessive friction, igniting leaked lubricating oil.","Fire suppression systems activated, and station evacuated.
Damaged compressor unit replaced.
Lubrication system monitoring increased to prevent future failures.",No injuries reported.
83,ðŸŸ¡ Minor,Minor,"November 18, 2022","Midland, Texas",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,"A misaligned valve during routine maintenance caused a diesel spill at a pump station, affecting nearby containment areas.","Valve realigned, and station personnel retrained on proper valve operation.
Spilled diesel recovered, and environmental remediation initiated.
Pump station automation upgraded to prevent manual misalignment.",No injuries reported.
84,ðŸŸ¡ Minor,Minor,"July 9, 2021","Denver, Colorado",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A third-party contractor accidentally struck a pipeline while digging, causing a minor gas leak.","Pipeline isolated and emergency response initiated.
Excavation contractor fined for non-compliance with dig-safe laws.
Awareness campaigns launched for contractors working near pipelines.",No injuries reported.
85,ðŸŸ¡ Minor,Minor,"February 2, 2023","Cheyenne, Wyoming",XYZ Pipeline Company,Liquefied Petroleum Gas (LPG) (UN 1075),Guide 115,"Extreme cold weather caused pipeline embrittlement, leading to a rupture and LPG release.","Pipeline section shut down, and gas dispersion monitored.
New thermal insulation measures implemented.
Pipeline metallurgy upgraded for better cold-weather performance.",No injuries reported.
86,ðŸŸ¡ Minor,Minor,"September 14, 2022","Baton Rouge, Louisiana",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A gasket failure on a tank farm pipeline connection led to a slow crude oil leak, detected during inspection.","Leaking gasket replaced, and tank farm operations resumed.
Routine gasket inspections added to maintenance schedules.
Tank farm infrastructure upgraded with secondary containment measures.",No injuries reported.
87,ðŸŸ¡ Minor,Minor,"December 5, 2023","Corpus Christi, Texas",XYZ Pipeline Company,Hydrogen Sulfide (UN 1053),Guide 117,"A processing unit valve failure led to an Hâ‚‚S gas release, triggering emergency alarms.","Facility shut down and employees evacuated.
Ventilation systems activated to disperse the gas safely.
Valves replaced, and sensor monitoring improved.","One worker experienced mild respiratory irritation, treated on-site."
88,ðŸŸ¡ Minor,Minor,"May 22, 2022","Oklahoma City, Oklahoma",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,"Unauthorized individuals attempted to tap into a diesel pipeline, causing a spill.","Pipeline operators detected abnormal pressure drop and shut down the affected section.
Law enforcement investigation launched.
Pipeline surveillance and security measures increased.",No injuries reported.
89,ðŸŸ¡ Minor,Minor,"August 8, 2021","Tulsa, Oklahoma",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,A pressure regulator failure led to excessive pressure buildup in a gas storage facility.,"Emergency venting system activated.
Pressure relief system upgraded to prevent recurrence.",No injuries reported.
90,ðŸŸ  Moderate,Moderate,"April 3, 2023","New Orleans, Louisiana",XYZ Pipeline Company,None (Fire Event),Guide 115,"A lightning strike hit a gas pipeline vent stack, igniting residual vapors.","Fire suppression system activated immediately.
Pipeline section inspected for structural integrity.
Lightning protection system enhanced.",No injuries reported.
91,ðŸŸ¡ Minor,Minor,"June 10, 2023","Houston, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A faulty control valve at a compressor station failed to close properly, leading to a slow but persistent natural gas leak.","Emergency shutdown of the station and valve replaced.
Gas leak detection systems enhanced.
Routine valve testing increased to prevent recurrence.",No injuries reported.
92,âšª Near Miss / No Impact,,"August 15, 2022","Pittsburgh, Pennsylvania",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,"A pipeline segment with pre-existing structural fatigue developed a small crack, leading to a diesel fuel leak.","Pipeline section shut down for emergency repairs.
Damaged section replaced with high-strength steel.
Structural integrity testing enhanced for aging pipelines.",No injuries reported.
93,ðŸŸ¡ Minor,Minor,"February 28, 2023","Denver, Colorado",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A minor earthquake (4.8 magnitude) caused ground shifts, resulting in a stress fracture in an oil pipeline.","Pipeline section isolated, and oil spill contained.
Seismic monitoring systems integrated into pipeline operations.
Structural reinforcements added to pipelines in seismic zones.",No injuries reported.
94,ðŸŸ¡ Minor,Minor,"May 21, 2022","Midland, Texas",XYZ Pipeline Company,Hydrogen Sulfide (UN 1053),Guide 117,"A pipeline transferring sour gas developed a leak near a refinery facility, releasing hydrogen sulfide gas into the atmosphere.","Emergency shutdown and facility evacuation initiated.
Gas dispersion monitored to ensure safety before re-entry.
Pipeline corrosion protection measures upgraded.","One worker experienced mild exposure symptoms, treated on-site."
95,ðŸŸ¡ Minor,Minor,"October 9, 2021","New Orleans, Louisiana",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,A malfunction in a gas transmission pipeline regulator station caused a temporary overpressure condition.,"Automated relief system activated.
Pipeline pressure reduced, and equipment inspected.
Regulator station controls upgraded for better pressure management.",No injuries reported.
96,ðŸŸ¡ Minor,Minor,"November 30, 2022","Tulsa, Oklahoma",XYZ Pipeline Company,None (Near Miss),Guide 115,"A construction company failed to notify pipeline operators before digging near a high-pressure gas pipeline, risking potential damage.","Pipeline operators issued immediate stop-work order.
Regulatory violation reported, and fines imposed on contractor.
Public safety awareness campaign initiated for excavation near pipelines.",No injuries reported.
97,ðŸŸ¡ Minor,Minor,"September 14, 2023","Corpus Christi, Texas",XYZ Pipeline Company,Liquefied Petroleum Gas (LPG) (UN 1075),Guide 115,"A pressure relief valve malfunction on an LPG storage tank led to a minor gas release, triggering emergency alarms.","Storage facility evacuated as a precaution.
Valve replaced, and full facility inspection conducted.
Automated gas detection system installed for early warnings.",No injuries reported.
98,ðŸŸ  Moderate,Moderate,"July 4, 2022","Baton Rouge, Louisiana",XYZ Pipeline Company,None (Fire Event),Guide 128,A lightning strike on an oil storage tank ignited residual vapors near the tank vent.,"Fire suppression system activated, preventing tank damage.
Lightning protection system enhanced at the storage facility.",No injuries reported.
99,ðŸŸ¡ Minor,Minor,"December 22, 2023","Cheyenne, Wyoming",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"An aging pipeline section at a compressor station developed a pinhole leak, detected by routine monitoring.","Pipeline section isolated, and leak repaired.
Aging infrastructure replacement plan accelerated.
More frequent integrity testing scheduled for older assets.",No injuries reported.
100,ðŸŸ¡ Minor,Minor,"February 3, 2023","Oklahoma City, Oklahoma",XYZ Pipeline Company,None (Security Concern),N/A,"Unauthorized individuals were caught attempting to access a secured pipeline right-of-way, raising security concerns.","Local law enforcement notified and security personnel dispatched.
Pipeline right-of-way monitoring increased with security cameras.
Public awareness campaign launched on pipeline security risks.",No injuries reported.
101,âšª Near Miss / No Impact,,"March 8, 2022","Houston, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A routine inline inspection detected internal corrosion in a high-pressure gas transmission pipeline, leading to a small but continuous leak.","Pipeline section isolated, and emergency repair initiated.
Corroded section replaced with upgraded corrosion-resistant material.
Pipeline cleaning and corrosion inhibitor injection procedures improved.",No injuries reported.
102,ðŸŸ¡ Minor,Minor,"June 22, 2023","Midland, Texas",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,"A malfunctioning control valve at a diesel pump station failed to close, leading to fuel overflow into the secondary containment area.","Pumping operations halted, and excess diesel removed.
Valve replaced, and all station components inspected.
Enhanced valve integrity monitoring procedures implemented.",No injuries reported.
103,ðŸŸ¡ Minor,Minor,"September 17, 2021","Denver, Colorado",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A pressure regulator failure at a compressor station caused overpressure in a downstream pipeline segment, triggering an emergency shutdown.","Pipeline pressure relief system activated automatically.
Station equipment recalibrated to prevent further failures.
Overpressure protection training reinforced for operational teams.",No injuries reported.
104,ðŸŸ¡ Minor,Minor,"April 28, 2022","Cheyenne, Wyoming",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A landslide event shifted the soil supporting a buried crude oil pipeline, leading to a stress fracture and oil spill.","Pipeline shutdown and emergency response teams deployed.
Geotechnical assessments conducted to identify further risks.
Pipeline rerouted to a more geologically stable location.",No injuries reported.
105,ðŸŸ¡ Minor,Minor,"August 10, 2023","Pittsburgh, Pennsylvania",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"An aging pipeline segment developed a pinhole leak, detected via routine aerial patrols.","Pipeline operations halted, and damaged section repaired.
Aging pipeline sections prioritized for replacement.
Inspection frequency increased for older assets.",No injuries reported.
106,ðŸŸ¡ Minor,Minor,"November 6, 2022","Baton Rouge, Louisiana",XYZ Pipeline Company,None (Near Miss),Guide 115,"A contractor failed to obtain clearance before excavating near a buried natural gas pipeline, damaging the pipeline coating but not causing a leak.","Pipeline operators halted excavation and assessed potential damage.
Regulatory fines issued for non-compliance with excavation safety laws.
Public awareness campaign launched on safe digging near pipelines.",No injuries reported.
107,ðŸŸ  Moderate,Moderate,"March 14, 2023","Corpus Christi, Texas",XYZ Pipeline Company,None (Fire Event),Guide 128,"A faulty circuit breaker at a crude oil pump station caused an electrical short, igniting a small fire in the control panel.","Local fire department responded and extinguished the fire.
Station power isolated, and faulty components replaced.
Electrical system inspections increased to identify potential failures.",No injuries reported.
108,ðŸŸ¡ Minor,Minor,"January 21, 2023**","Oklahoma City, Oklahoma",XYZ Pipeline Company,Liquefied Petroleum Gas (LPG) (UN 1075),Guide 115,"Heavy rains caused soil erosion, which exposed a previously buried LPG pipeline, leading to structural stress and eventual rupture.","Emergency shutdown initiated, and hazardous vapor monitoring conducted.
Pipeline section repaired, and additional soil reinforcement measures implemented.
Long-term erosion control projects started in high-risk areas.",No injuries reported.
109,ðŸŸ¡ Minor,Minor,"July 30, 2021","New Orleans, Louisiana",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A pressure relief valve failed to reseat properly, allowing a slow crude oil leak from a storage tank connection.","Valve replaced, and storage operations temporarily halted.
Secondary containment barriers inspected and reinforced.
Enhanced maintenance procedures implemented for all pressure valves.",No injuries reported.
110,ðŸŸ¡ Minor,Minor,"October 9, 2023","Tulsa, Oklahoma",XYZ Pipeline Company,None (Security Incident),N/A,"Security personnel identified unauthorized individuals attempting to enter a secured pipeline facility, prompting an emergency response.","Local law enforcement notified, and suspects detained.
Facility security measures upgraded with surveillance cameras.
Security awareness training conducted for all employees.",No injuries reported.
111,ðŸŸ¡ Minor,Minor,"April 11, 2022","Houston, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A routine pipeline integrity assessment revealed external corrosion, leading to a minor gas leak in a high-pressure transmission pipeline.","Pipeline shutdown and emergency repair conducted.
Corrosion-resistant coatings applied to affected pipeline sections.
Cathodic protection system upgraded to prevent further corrosion.",No injuries reported.
112,ðŸŸ¡ Minor,Minor,"September 6, 2023","Midland, Texas",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,"A gasket failure on a fuel transfer pump at a diesel distribution terminal resulted in a spill of 1,200 gallons of diesel fuel.","Spilled diesel recovered and contaminated soil excavated.
Gaskets inspected and replaced across similar pump systems.
Routine maintenance protocols enhanced to detect early wear.",No injuries reported.
113,ðŸŸ¡ Minor,Minor,"March 30, 2021","Denver, Colorado",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A malfunctioning pressure sensor at a regulator station failed to signal an overpressure condition, leading to a temporary overpressure event in the pipeline system.","Automated relief valves activated to vent excess gas safely.
Pipeline pressure control systems recalibrated.
Regular sensor health checks added to pipeline monitoring procedures.",No injuries reported.
114,âšª Near Miss / No Impact,,"November 18, 2022","Cheyenne, Wyoming",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A series of small earthquakes in the region caused ground movement, leading to stress fractures in an underground crude oil pipeline.","Pipeline shutdown and oil spill containment measures deployed.
Geotechnical assessments performed, and pipeline supports reinforced.
Seismic-resistant pipeline materials tested for future installations.",No injuries reported.
115,ðŸŸ  Moderate,Moderate,"January 25, 2023","Pittsburgh, Pennsylvania",XYZ Pipeline Company,None (Fire Event),Guide 115,"An electrical short in a compressor control panel ignited a small fire within the facility, leading to a temporary shutdown.","Fire suppression system activated, extinguishing the fire.
Electrical panel inspected and replaced.
New fire-resistant enclosures installed for critical electrical components.",No injuries reported.
116,ðŸŸ¡ Minor,Minor,"August 7, 2021","Baton Rouge, Louisiana",XYZ Pipeline Company,None (Near Miss),Guide 115,"A construction crew began excavation without notifying pipeline operators, risking potential damage to a buried high-pressure gas pipeline.","Pipeline operators halted work and assessed for potential damage.
Contractor fined for violating excavation safety laws.
Public outreach efforts increased for safe digging awareness.",No injuries reported.
117,ðŸŸ  Moderate,Moderate,"May 16, 2022","Corpus Christi, Texas",XYZ Pipeline Company,None (Fire Event),Guide 115,"A lightning strike hit a vent stack at a gas processing facility, igniting residual gas vapors and triggering a fire.","Fire suppression systems activated immediately.
Lightning protection enhanced at the processing facility.
Vapor recovery system improved to prevent residual gas accumulation.",No injuries reported.
118,âšª Near Miss / No Impact,,"October 29, 2022","New Orleans, Louisiana",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,"A weld repair on a diesel pipeline failed prematurely, leading to a small but continuous fuel leak.","Pipeline section isolated and weld repair redone using improved techniques.
Quality control for welding procedures enhanced.
Post-repair pipeline integrity monitoring increased.",No injuries reported.
119,âšª Near Miss / No Impact,,"December 14, 2023","Tulsa, Oklahoma",XYZ Pipeline Company,Liquefied Petroleum Gas (LPG) (UN 1075),Guide 115,A leaking valve packing on an LPG metering station resulted in a small but detectable gas release.,"Station shut down, and valve packing replaced.
Routine valve inspections increased to detect early failures.",No injuries reported.
120,ðŸŸ¡ Minor,Minor,"February 2, 2024","Oklahoma City, Oklahoma",XYZ Pipeline Company,None (Security Event),N/A,"Security teams detected unauthorized personnel attempting to enter a secured pipeline facility, leading to an investigation.","Local law enforcement notified, and intruders apprehended.
Surveillance system upgraded with motion detection.
Security training reinforced for facility personnel.",No injuries reported.
121,ðŸŸ¡ Minor,Minor,"April 19, 2022","Houston, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A compressor station reported a minor gas leak, traced back to worn-out sealing components in one of the units.","Compressor unit shut down, and all seals replaced.
Leak monitoring frequency increased at the station.
Maintenance schedule updated for early detection of worn seals.",No injuries reported.
122,ðŸŸ¡ Minor,Minor,"August 12, 2023","Midland, Texas",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"Heavy rain and soil movement caused stress on a buried pipeline section, resulting in a pinhole leak.","Pipeline shut down, and affected section excavated and repaired.
Geotechnical stabilization conducted in the area.
Regular inspections implemented for soil stability monitoring.",No injuries reported.
123,ðŸŸ¡ Minor,Minor,"May 7, 2022","Denver, Colorado",XYZ Pipeline Company,Liquefied Petroleum Gas (LPG) (UN 1075),Guide 115,"An operator misaligned a valve during a transfer operation, causing an unintentional LPG release.","Transfer operations stopped immediately.
Valve alignment procedures reinforced through staff training.
Automated valve monitoring installed to prevent misalignments.",No injuries reported.
124,ðŸŸ¡ Minor,Minor,"September 15, 2021","Cheyenne, Wyoming",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,A pressure regulator malfunction at a compressor station led to temporary overpressure in a downstream pipeline segment.,"Pressure relief valves activated automatically.
Regulator station shut down and recalibrated.
Preventive maintenance schedules adjusted for all pressure regulators.",No injuries reported.
125,ðŸŸ¡ Minor,Minor,"February 6, 2023","Pittsburgh, Pennsylvania",XYZ Pipeline Company,None (Near Miss),Guide 128,"A construction company failed to verify underground pipelines before digging, narrowly avoiding damaging a crude oil transmission pipeline.","Work halted, and regulatory authorities notified.
Public awareness campaign launched about safe excavation near pipelines.
Excavation companies required to undergo additional safety training.",No injuries reported.
126,ðŸŸ¡ Minor,Minor,"October 21, 2022","Baton Rouge, Louisiana",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,"An aging section of pipeline developed a small leak, allowing diesel fuel to seep into nearby soil.","Pipeline section isolated, and contaminated soil removed.
Aging pipeline infrastructure prioritized for replacement.
Long-term monitoring for potential future leaks in the area.",No injuries reported.
127,ðŸŸ  Moderate,Moderate,"July 14, 2023","Corpus Christi, Texas",XYZ Pipeline Company,None (Fire Event),Guide 115,"A lubrication system failure in a compressor unit caused overheating, igniting nearby residues and triggering a fire.","Fire suppression system activated immediately.
Lubrication systems inspected and maintenance procedures improved.
Temperature monitoring sensors added to detect overheating early.",No injuries reported.
128,âšª Near Miss / No Impact,,"January 3, 2023","New Orleans, Louisiana",XYZ Pipeline Company,Jet Fuel (UN 1863),Guide 128,A faulty hose coupling during fuel transfer operations resulted in a small spill of jet fuel at a loading terminal.,"Operations stopped, and fuel spill contained.
Defective hose coupling replaced with an upgraded design.
Routine coupling integrity testing added to maintenance procedures.",No injuries reported.
129,ðŸŸ¡ Minor,Minor,"May 29, 2021","Tulsa, Oklahoma",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A third-party excavation crew struck a high-pressure natural gas pipeline, causing an immediate rupture and gas release.","Pipeline shutdown and emergency responders deployed.
Excavation company fined for non-compliance with safety regulations.
Public safety training reinforced for excavation crews.",Two workers suffered minor injuries from debris impact.
130,ðŸŸ¡ Minor,Minor,"March 7, 2024","Oklahoma City, Oklahoma",XYZ Pipeline Company,Hydrogen Sulfide (UN 1053),Guide 117,"A valve failure in a sour gas processing unit led to a hydrogen sulfide (Hâ‚‚S) gas release, triggering alarm systems.","Facility evacuated, and emergency response teams deployed.
Gas dispersion monitored, and ventilation system engaged.
Valve replaced, and maintenance procedures improved.",One worker suffered mild respiratory distress and received treatment on-site.
131,ðŸŸ¡ Minor,Minor,"June 15, 2022","Houston, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,A compressor station detected a gas leak caused by a failing gasket in the high-pressure pipeline connection.,"Compressor unit isolated, and faulty gasket replaced.
All gaskets inspected and reinforced where necessary.
Routine gasket integrity checks added to maintenance protocols.",No injuries reported.
132,ðŸŸ¡ Minor,Minor,"August 19, 2023","Midland, Texas",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,A hose rupture during a routine fuel transfer operation resulted in a minor diesel spill at a pump station.,"Pumping operations halted, and spill contained using absorbent materials.
Hose replaced, and quality control procedures reviewed.
Routine hose inspections increased to prevent future failures.",No injuries reported.
